listings code,lookup name,index name
UAI,U AND I GROUP,UAE OIL SERVICES PLC
UOS,UAE OIL SERVICES,U AND I GROUP PLC
UDG,UDG HEALTHCARE,UDG HEALTHCARE PUBLIC LIMITED COMPANY
UTLG,UIL FINANCE LIMITED,UIL FINANCE LIMITED
UTLH,UIL FINANCE LIMITED,UIL FINANCE LIMITED
UTLF,UIL FINANCE LIMITED,UIL FINANCE LIMITED
UTL,UIL LIMITED,UIL LIMITED
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED,UK COMMERCIAL PROPERTY REIT LIMITED
UKML,UK MORTGAGES LIMITED,UK MORTGAGES LIMITED
UKOG,UK OIL AND GAS,UK OIL & GAS PLC
UKR,UKRPRODUCT GROUP LIMITED,UKRPRODUCT GROUP LIMITED
ULS,ULS TECHNOLOGY,ULS TECHNOLOGY PLC
ULE,ULTRA ELECTRONICS HOLDING,ULTRA ELECTRONICS HOLDINGS PLC
UAV,UNICORN AIM VCT,UNICORN AIM VCT PLC
ULVR,UNILEVER,UNILEVER PLC
UJO,UNION JACK OIL,UNION JACK OIL PLC
UPR,UNIPHAR,UNIPHAR PLC
USY,UNISYS CORPORATION,UNISYS CORPORATION
UTG,UNITE GROUP,UNITED BANK LIMITED
UBLA,UNITED BANK LIMITED,UNITED CARPETS GROUP PLC
UBLS,UNITED BANK LIMITED,UNITED CARPETS GROUP PLC
UCG,UNITED CARPETS GROUP,UNITED OIL & GAS PLC
UOG,UNITED OIL AND GAS,UNITED UTILITIES GROUP PLC
UU.,UNITED UTILITIES GROUP,UNITE GROUP PLC
UNG,UNIVERSE GROUP,UNIVERSE GROUP PLC
UVEL,UNIVISION ENGINEERING LIMITED,UNIVISION ENGINEERING LIMITED
